Spirochaetes: Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Crohn Disease, Ulcerative Colitis, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Lung Neoplasms, Constipation, Celiac Disease, Laryngeal Neoplasms, Parkinson Disease, Alzheimer Disease, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Saprospirales: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Saprospiria: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Selenomonas noxia: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Serratia marcescens: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Staphylococcus sciuri: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Vascular Stiffness
Stenotrophomonas acidaminiphila: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Streptococcus alactolyticus: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Streptococcus lutetiensis: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Succiniclasticum: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Thiotrichales: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Trichococcus: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Victivallaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Victivallales: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Fretibacterium: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Paeniclostridium: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Acidobacteriia: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Arcobacter: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Bryobacterales: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Opitutaceae: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Opitutales: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Parcubacteria bacterium RAAC4_OD1_1: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Patulibacteraceae: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Planctomycetia: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Procabacteriaceae: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Procabacteriales: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Rhodoferax: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Solirubrobacterales: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Basidioascus: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Clostridia bacterium UC5.1-2D9: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Crepidotus: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Firmicutes bacterium CAG:102: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Firmicutes bacterium CAG:110: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Firmicutes bacterium CAG:240: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Lachnospiraceae bacterium 2_1_58FAA: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Lachnospiraceae bacterium 5_1_63FAA: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Paenarthrobacter: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Prochlorococcus: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Proteobacteria bacterium CAG:139: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Tyzzerella: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Diarrhea, Prostatic Neoplasms, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Peripheral Arterial Disease, Acute Lymphoblastic Leukemia, Coronary Heart Disease, Atherosclerosis
Bergeyella zoohelcum: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Celiac Disease, Mouth Neoplasms, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Parkinson Disease, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Diarrhea
Prevotella histicola: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Celiac Disease, Mouth Neoplasms, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Parkinson Disease, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Diarrhea
Prevotella sp. oral clone DO014: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Diarrhea, Constipation, Head and Neck Neoplasms, Coronary Artery Disease
Treponema amylovorum: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Diarrhea, Constipation, Head and Neck Neoplasms, Coronary Artery Disease
Zhouia: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Diarrhea, Constipation, Head and Neck Neoplasms, Coronary Artery Disease
Corynebacterium striatum: Uterine Cervical Neoplasms, Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Mouth Neoplasms, Breast Neoplasms, Endometrial Neoplasms, Prostatic Neoplasms, Celiac Disease, Pharyngeal Neoplasms, Diarrhea, Stomach Neoplasms, Thyroid Neoplasms, Constipation, Liver Neoplasms, Head and Neck Neoplasms, Irritable Bowel Syndrome
Enhydrobacter aerosaccus: Uterine Cervical Neoplasms, Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Mouth Neoplasms, Breast Neoplasms, Endometrial Neoplasms, Prostatic Neoplasms, Celiac Disease, Pharyngeal Neoplasms, Diarrhea, Stomach Neoplasms, Thyroid Neoplasms, Constipation, Liver Neoplasms, Head and Neck Neoplasms, Pancreatic Neoplasms
